created_on,name,database_name,schema_name,kind,comment,cluster_by,rows,bytes,owner,retention_time,automatic_clustering,change_tracking,is_external,enable_schema_evolution,owner_role_type,is_event,budget
2023-12-10,COLLECTION_LOG_DAILY,EGGOZDB,MAPLEMONK,TABLE,,,10739,372736,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-12-10,COLLECTION_SUMMARY,EGGOZDB,MAPLEMONK,TABLE,,,50365,408576,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-12-10,COLLECTION_SUMMARY_BEAT_RETAILER,EGGOZDB,MAPLEMONK,TABLE,,,93279,2627584,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-12-10,COLLECTION_SUMMARY_BEAT_RETAILER_DSO,EGGOZDB,MAPLEMONK,TABLE,,,117750,4283392,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2022-05-12,COLLECTION_SUMMARY_BEAT_RETAILER_TEST,EGGOZDB,MAPLEMONK,TABLE,,,46086,1204224,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-12-10,COMPETITOR_SOH,EGGOZDB,MAPLEMONK,TABLE,,,32088,1097728,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2022-04-05,COST_PER_EGG,EGGOZDB,MAPLEMONK,TABLE,,,670,20992,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-12-10,CREDIT_LOSS,EGGOZDB,MAPLEMONK,TABLE,,,7725,123392,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-12-10,CREDIT_LOSS_AREA,EGGOZDB,MAPLEMONK,TABLE,,,3593,56320,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-12-10,CUMULATIVE_DEMAND_SUPPLY,EGGOZDB,MAPLEMONK,TABLE,,,130,22528,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-12-10,CUMULATIVE_SOLD_VS_PROCURE,EGGOZDB,MAPLEMONK,TABLE,,,1885,30720,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-12-10,CUMULATIVE_SOLD_VS_PROCURE_TYPEWISE,EGGOZDB,MAPLEMONK,TABLE,,,11512,107008,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-03-13,CUSTOM_FACEBOOK_MARKETING_FACEBOOK_EGGOZ_ADS_INSIGHTS,EGGOZDB,MAPLEMONK,TABLE,,"LINEAR(_AIRBYTE_UNIQUE_KEY, _AIRBYTE_EMITTED_AT)",15004,3738112,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-03-13,CUSTOM_FACEBOOK_MARKETING_FACEBOOK_EGGOZ_ADS_INSIGHTS_ACTIONS,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),269472,16286208,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-03-13,CUSTOM_FACEBOOK_MARKETING_FACEBOOK_EGGOZ_ADS_INSIGHTS_ACTION_VALUES,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),0,0,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-03-13,CUSTOM_FACEBOOK_MARKETING_FACEBOOK_EGGOZ_ADS_INSIGHTS_AD_CLICK_ACTIONS,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),0,0,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
