Date,Energy Required (MU)
22-Dec-13,245.123
23-Dec-13,249.12
24-Dec-13,252.68
25-Dec-13,251.394
26-Dec-13,253.603
27-Dec-13,255.448
28-Dec-13,254.405
29-Dec-13,244.822
30-Dec-13,246.71
31-Dec-13,252.998
01-Jan-14,245.651
02-Jan-14,254.005
03-Jan-14,260.335
04-Jan-14,259.758
05-Jan-14,254.92
06-Jan-14,261.424
07-Jan-14,266.721
08-Jan-14,271.435
09-Jan-14,272.216
10-Jan-14,275.29
11-Jan-14,272.366
12-Jan-14,270.828
13-Jan-14,271.086
14-Jan-14,260.963
15-Jan-14,256.877
16-Jan-14,263.985
17-Jan-14,267.776
18-Jan-14,270.339
19-Jan-14,266.321
20-Jan-14,273.298
21-Jan-14,276.56
22-Jan-14,276.225
23-Jan-14,279.061
24-Jan-14,278.724
25-Jan-14,279.579
26-Jan-14,271.162
27-Jan-14,274.834
28-Jan-14,278.275
29-Jan-14,280.127
30-Jan-14,280.964
31-Jan-14,282.324
01-Feb-14,285.391
02-Feb-14,273.84
03-Feb-14,278.609
04-Feb-14,284.331
05-Feb-14,282.812
06-Feb-14,283.647
07-Feb-14,285.163
08-Feb-14,287.461
09-Feb-14,280.21
10-Feb-14,285.203
11-Feb-14,291.292
12-Feb-14,290.096
13-Feb-14,295.069
14-Feb-14,293.926
15-Feb-14,290.202
16-Feb-14,274.351
17-Feb-14,284.217
18-Feb-14,287.656
19-Feb-14,288.594
20-Feb-14,289.516
21-Feb-14,291.873
22-Feb-14,299.852
23-Feb-14,288.731
24-Feb-14,290.356
25-Feb-14,294.922
26-Feb-14,296.136
27-Feb-14,301.012
28-Feb-14,287.719
01-Mar-14,282.532
02-Mar-14,267.456
03-Mar-14,265.07
04-Mar-14,259.144
05-Mar-14,261.183
06-Mar-14,260.981
07-Mar-14,267.03
08-Mar-14,267.493
09-Mar-14,259.215
10-Mar-14,270.494
11-Mar-14,275.996
12-Mar-14,283.867
13-Mar-14,288.212
14-Mar-14,293.732
15-Mar-14,297.185
16-Mar-14,289.59
17-Mar-14,291.39
18-Mar-14,300.898
19-Mar-14,311.847
20-Mar-14,314.001
21-Mar-14,317
22-Mar-14,311.364
23-Mar-14,305.802
24-Mar-14,311.994
25-Mar-14,313.964
26-Mar-14,315.594
27-Mar-14,311.789
28-Mar-14,315.838
29-Mar-14,318.803
30-Mar-14,309.136
31-Mar-14,311.226
01-Apr-14,311.999
02-Apr-14,312.627
03-Apr-14,315.8
04-Apr-14,319.756
05-Apr-14,313.401
06-Apr-14,301.392
07-Apr-14,317.031
08-Apr-14,315.831
09-Apr-14,303.884
10-Apr-14,297.952
11-Apr-14,309.081
12-Apr-14,307.787
13-Apr-14,297.222
14-Apr-14,298.172
15-Apr-14,301.12
16-Apr-14,302.155
17-Apr-14,306.009
18-Apr-14,298.543
19-Apr-14,295.263
20-Apr-14,276.718
21-Apr-14,288.011
22-Apr-14,292.807
23-Apr-14,297.23
24-Apr-14,301.889
25-Apr-14,301.53
26-Apr-14,298.103
27-Apr-14,289.215
28-Apr-14,297.009
29-Apr-14,298.184
30-Apr-14,278.037
01-May-14,273.753
02-May-14,284.457
03-May-14,279.09
04-May-14,263.467
05-May-14,263.909
06-May-14,267.995
07-May-14,258.018
08-May-14,254.507
09-May-14,228.674
10-May-14,223.726
11-May-14,238.518
12-May-14,252.31
13-May-14,261.342
14-May-14,259.416
15-May-14,258.782
16-May-14,265.852
17-May-14,263.943
18-May-14,257.426
19-May-14,258.017
20-May-14,249.959
21-May-14,262.255
22-May-14,263.084
23-May-14,269.497
24-May-14,269.999
25-May-14,253.743
26-May-14,259.136
27-May-14,261.308
28-May-14,263.349
29-May-14,266.868
30-May-14,271.233
31-May-14,275.557
01-Jun-14,264.038
03-Jun-14,127.584
04-Jun-14,138.957
05-Jun-14,142.82
06-Jun-14,139.293
07-Jun-14,142.51
08-Jun-14,139.322
09-Jun-14,0
10-Jun-14,134.245
11-Jun-14,135.555
12-Jun-14,142.228
13-Jun-14,145.273
14-Jun-14,143.522
15-Jun-14,144.095
01-Aug-14,141.028
02-Aug-14,142.063
03-Aug-14,138.358
04-Aug-14,145.666
05-Aug-14,144.572
06-Aug-14,146.475
07-Aug-14,148.283
08-Aug-14,149.451
09-Aug-14,147.043
10-Aug-14,144.088
11-Aug-14,150.264
12-Aug-14,147.233
13-Aug-14,147.493
14-Aug-14,147.677
15-Aug-14,146.453
16-Aug-14,143.84
17-Aug-14,141.732
18-Aug-14,138.76
19-Aug-14,142.579
20-Aug-14,146.602
21-Aug-14,148.361
22-Aug-14,150.606
23-Aug-14,147.848
24-Aug-14,144.52
25-Aug-14,135.732
26-Aug-14,132.95
27-Aug-14,122.098
28-Aug-14,116.488
29-Aug-14,115.079
30-Aug-14,120.435
31-Aug-14,121.22
01-Sep-14,125.366
02-Sep-14,132.05
03-Sep-14,139.797
04-Sep-14,137.23
05-Sep-14,136.599
06-Sep-14,127.182
07-Sep-14,124.07
08-Sep-14,131.404
09-Sep-14,135.172
10-Sep-14,141.953
11-Sep-14,143.549
12-Sep-14,143.805
13-Sep-14,140.986
14-Sep-14,138.576
15-Sep-14,136.165
16-Sep-14,129.721
17-Sep-14,126.887
18-Sep-14,127.209
19-Sep-14,130.663
20-Sep-14,130.947
21-Sep-14,129.048
22-Sep-14,135.691
23-Sep-14,140.84
24-Sep-14,138.844
25-Sep-14,135.701
26-Sep-14,137.583
27-Sep-14,137.2
28-Sep-14,136.161
29-Sep-14,139.494
30-Sep-14,146.259
01-Oct-14,145.32
02-Oct-14,142.218
03-Oct-14,140.185
04-Oct-14,144.09
05-Oct-14,144.412
06-Oct-14,140.554
07-Oct-14,139.035
08-Oct-14,139.059
09-Oct-14,138.604
10-Oct-14,138.805
11-Oct-14,133.545
12-Oct-14,127.391
13-Oct-14,133.205
14-Oct-14,144.665
15-Oct-14,140.754
16-Oct-14,141.881
17-Oct-14,143.586
18-Oct-14,141.943
19-Oct-14,134.874
20-Oct-14,135.684
21-Oct-14,136.912
22-Oct-14,135.678
23-Oct-14,136.774
24-Oct-14,129.173
25-Oct-14,133.558
26-Oct-14,119.156
27-Oct-14,113.589
28-Oct-14,116.829
29-Oct-14,125.157
30-Oct-14,123.042
31-Oct-14,127.874
01-Nov-14,131.94
02-Nov-14,124.646
03-Nov-14,127.423
04-Nov-14,131.31
05-Nov-14,126.148
06-Nov-14,126.16
07-Nov-14,128.19
08-Nov-14,133.111
09-Nov-14,127.603
10-Nov-14,127.703
11-Nov-14,129.706
12-Nov-14,130.68
13-Nov-14,120.293
14-Nov-14,119.702
15-Nov-14,124.538
16-Nov-14,124.764
17-Nov-14,129.102
18-Nov-14,128.927
19-Nov-14,128.287
20-Nov-14,131.179
21-Nov-14,129.789
22-Nov-14,130.525
23-Nov-14,131.259
24-Nov-14,133.523
25-Nov-14,130.569
26-Nov-14,131.842
27-Nov-14,132.188
28-Nov-14,129.295
29-Nov-14,131.702
30-Nov-14,129.064
01-Dec-14,130.619
02-Dec-14,133.162
03-Dec-14,133.122
04-Dec-14,132.37
05-Dec-14,135.116
06-Dec-14,135.04
07-Dec-14,131.625
08-Dec-14,135.316
09-Dec-14,142.463
10-Dec-14,137.85
11-Dec-14,134.325
12-Dec-14,129.483
13-Dec-14,129.275
14-Dec-14,127.302
15-Dec-14,132.002
16-Dec-14,136.515
17-Dec-14,134.063
18-Dec-14,131.396
19-Dec-14,129.977
20-Dec-14,130.025
21-Dec-14,127.58
22-Dec-14,132.411
23-Dec-14,128.951
24-Dec-14,133.339
25-Dec-14,131.273
26-Dec-14,129.452
27-Dec-14,129.097
28-Dec-14,129.839
29-Dec-14,125.577
30-Dec-14,125.001
31-Dec-14,130.112
01-Jan-15,131.501
02-Jan-15,135.684
03-Jan-15,136.575
04-Jan-15,136.887
05-Jan-15,138.566
06-Jan-15,138.846
07-Jan-15,137.209
08-Jan-15,137.859
09-Jan-15,135.199
10-Jan-15,136.159
11-Jan-15,131.173
12-Jan-15,132.813
13-Jan-15,136.996
14-Jan-15,134.263
15-Jan-15,127.22
16-Jan-15,125.107
17-Jan-15,128.624
18-Jan-15,127.796
19-Jan-15,131.75
20-Jan-15,134.978
21-Jan-15,134.27
22-Jan-15,136.556
23-Jan-15,139.711
24-Jan-15,137.127
25-Jan-15,137.041
26-Jan-15,134.741
27-Jan-15,137.412
28-Jan-15,140.114
29-Jan-15,139.509
30-Jan-15,140.529
31-Jan-15,141.08
01-Feb-15,138.054
02-Feb-15,137.458
03-Feb-15,138.233
04-Feb-15,137.456
05-Feb-15,139.153
06-Feb-15,141.097
07-Feb-15,143.155
08-Feb-15,140.576
09-Feb-15,141.981
10-Feb-15,145.415
11-Feb-15,143.569
12-Feb-15,141.342
13-Feb-15,143.897
14-Feb-15,143.569
15-Feb-15,143.287
16-Feb-15,144.157
17-Feb-15,144.689
18-Feb-15,142.985
19-Feb-15,144.295
20-Feb-15,144.899
21-Feb-15,146.56
22-Feb-15,142.224
23-Feb-15,142.862
24-Feb-15,145.562
25-Feb-15,147.369
26-Feb-15,145.355
27-Feb-15,147.719
28-Feb-15,143.115
01-Mar-15,135.678
02-Mar-15,138.554
03-Mar-15,140.93
04-Mar-15,137.705
05-Mar-15,141.742
06-Mar-15,138.003
07-Mar-15,142.528
08-Mar-15,137.835
09-Mar-15,143.264
10-Mar-15,143.867
11-Mar-15,144.102
12-Mar-15,145.864
13-Mar-15,145.696
14-Mar-15,146.319
15-Mar-15,146.459
16-Mar-15,146.561
17-Mar-15,146.562
18-Mar-15,148.693
19-Mar-15,150.347
20-Mar-15,146.931
21-Mar-15,148.065
22-Mar-15,144.244
23-Mar-15,148.87
24-Mar-15,152.523
25-Mar-15,151.865
26-Mar-15,153.935
27-Mar-15,150.218
28-Mar-15,151.759
29-Mar-15,148.308
30-Mar-15,147.447
31-Mar-15,151.626
01-Apr-15,150.534
02-Apr-15,150.106
03-Apr-15,151.75
04-Apr-15,154.208
05-Apr-15,149.9
06-Apr-15,149.927
07-Apr-15,150.586
08-Apr-15,152.258
09-Apr-15,150.226
10-Apr-15,152.859
11-Apr-15,149.998
12-Apr-15,134.697
13-Apr-15,127.984
14-Apr-15,123.314
15-Apr-15,121.825
16-Apr-15,128.134
17-Apr-15,130.062
18-Apr-15,133.747
19-Apr-15,134.288
20-Apr-15,140.756
21-Apr-15,144.152
22-Apr-15,143.492
23-Apr-15,148.863
24-Apr-15,127.482
25-Apr-15,130.772
26-Apr-15,131.757
27-Apr-15,138.127
28-Apr-15,142.221
29-Apr-15,137.288
30-Apr-15,139.798
01-May-15,138.81
02-May-15,140.708
03-May-15,135.442
04-May-15,142.267
05-May-15,143.027
06-May-15,144.527
07-May-15,143.482
08-May-15,147.541
09-May-15,145.36
10-May-15,145.945
11-May-15,147.12
12-May-15,149.995
13-May-15,149.541
14-May-15,147.958
15-May-15,143.674
16-May-15,137.562
17-May-15,131.098
18-May-15,137.64
19-May-15,147.114
20-May-15,144.683
21-May-15,148.523
22-May-15,153.956
23-May-15,153.657
24-May-15,149.573
25-May-15,151.147
26-May-15,153.955
27-May-15,155.322
28-May-15,143.336
29-May-15,147.235
30-May-15,146.455
31-May-15,143.522
01-Jun-15,135.238
02-Jun-15,132.163
03-Jun-15,127.344
04-Jun-15,137.787
05-Jun-15,134.276
06-Jun-15,126.068
07-Jun-15,127.775
08-Jun-15,127.775
09-Jun-15,125.428
10-Jun-15,128.297
11-Jun-15,133.912
12-Jun-15,128.599
13-Jun-15,130.013
14-Jun-15,125.361
15-Jun-15,130.363
16-Jun-15,128.3
17-Jun-15,129.216
18-Jun-15,123.601
19-Jun-15,117.876
20-Jun-15,123.461
21-Jun-15,113.38
22-Jun-15,117.364
23-Jun-15,129.519
24-Jun-15,137.718
25-Jun-15,138.826
26-Jun-15,143.483
27-Jun-15,142.188
28-Jun-15,139.174
29-Jun-15,142.311
30-Jun-15,142.535
01-Jul-15,142.785
02-Jul-15,145.43
03-Jul-15,146.361
04-Jul-15,147.768
05-Jul-15,145.732
06-Jul-15,148.052
07-Jul-15,151.357
08-Jul-15,153.714
09-Jul-15,151.473
10-Jul-15,156.444
11-Jul-15,150.83
12-Jul-15,156.437
13-Jul-15,152.358
14-Jul-15,153.224
15-Jul-15,146.056
16-Jul-15,145.569
17-Jul-15,147.716
18-Jul-15,147.167
19-Jul-15,142.68
20-Jul-15,138.942
21-Jul-15,144.478
22-Jul-15,141.191
23-Jul-15,138.872
24-Jul-15,143.381
25-Jul-15,145.516
26-Jul-15,143.432
27-Jul-15,145.514
28-Jul-15,148.222
29-Jul-15,147.739
30-Jul-15,150.801
31-Jul-15,149.823
01-Aug-15,143.454
02-Aug-15,140.803
03-Aug-15,140.525
04-Aug-15,139.386
05-Aug-15,140.138
06-Aug-15,138.301
07-Aug-15,134.579
08-Aug-15,137.671
09-Aug-15,141.061
10-Aug-15,142.002
11-Aug-15,141.04
12-Aug-15,136.866
13-Aug-15,137.934
14-Aug-15,139.66
15-Aug-15,144.277
16-Aug-15,136.35
17-Aug-15,136.245
18-Aug-15,141.551
19-Aug-15,145.989
20-Aug-15,143.126
21-Aug-15,129.806
22-Aug-15,127.359
23-Aug-15,129.393
24-Aug-15,132.3
25-Aug-15,138.849
26-Aug-15,140.121
27-Aug-15,137.85
28-Aug-15,136.231
29-Aug-15,136.955
30-Aug-15,137.165
31-Aug-15,139.68
01-Sep-15,138.886
02-Sep-15,141.656
03-Sep-15,140.376
04-Sep-15,138.235
05-Sep-15,140.535
06-Sep-15,125.397
07-Sep-15,118.753
08-Sep-15,120.012
09-Sep-15,127.085
10-Sep-15,121.412
11-Sep-15,124.211
12-Sep-15,126.882
13-Sep-15,124.758
14-Sep-15,124.389
