,Date,Energy Required (MU)
420,26-06-2013,246.04
421,27-06-2013,254.075
422,28-06-2013,261.742
423,29-06-2013,264.98
424,30-06-2013,256.512
425,01-07-2013,258.65
426,02-07-2013,269.193
427,03-07-2013,269.131
428,04-07-2013,263.195
429,05-07-2013,260.967
430,06-07-2013,265.51
431,07-07-2013,252.41
432,08-07-2013,257.785
433,09-07-2013,253.063
434,10-07-2013,252.961
435,11-07-2013,239.006
436,12-07-2013,230.017
437,13-07-2013,238.439
438,14-07-2013,238.542
439,15-07-2013,248.208
440,16-07-2013,246.414
441,17-07-2013,236.758
442,18-07-2013,237.776
443,19-07-2013,223.588
444,20-07-2013,224.201
445,21-07-2013,226.224
446,22-07-2013,224.8
447,23-07-2013,215.097
448,24-07-2013,226.911
449,25-07-2013,236.556
450,26-07-2013,244.125
451,27-07-2013,248.259
452,28-07-2013,245.97
453,29-07-2013,252.095
454,30-07-2013,256.215
455,31-07-2013,228.782
456,01-08-2013,223.583
457,02-08-2013,234.67
458,03-08-2013,248.023
459,04-08-2013,248.365
460,05-08-2013,245.411
461,06-08-2013,240.367
462,07-08-2013,246.271
463,08-08-2013,256.604
464,09-08-2013,257.619
465,10-08-2013,259.358
466,11-08-2013,258.602
467,12-08-2013,249.554
468,13-08-2013,242.279
469,14-08-2013,248.257
470,15-08-2013,227.58
471,16-08-2013,222.948
472,17-08-2013,221.484
473,18-08-2013,220.596
474,19-08-2013,230.334
475,20-08-2013,237.913
476,21-08-2013,244.57
477,22-08-2013,246.284
478,23-08-2013,256.129
479,24-08-2013,263.284
480,25-08-2013,261.968
481,26-08-2013,266.382
482,27-08-2013,264.151
483,28-08-2013,265.313
484,29-08-2013,264.029
485,30-08-2013,269.587
486,31-08-2013,265.882
487,01-09-2013,254.357
488,02-09-2013,261.397
489,03-09-2013,260.484
490,04-09-2013,258.208
491,05-09-2013,264.081
492,06-09-2013,269.015
493,07-09-2013,259.72
494,08-09-2013,240.654
495,09-09-2013,231.566
496,10-09-2013,242.883
497,11-09-2013,241.185
498,12-09-2013,245.81
499,13-09-2013,251.071
500,14-09-2013,251.241
501,15-09-2013,243.572
502,16-09-2013,244.149
503,17-09-2013,238.122
504,18-09-2013,234.86
505,19-09-2013,239.504
506,20-09-2013,236.024
507,21-09-2013,228.779
508,22-09-2013,231.299
509,23-09-2013,246.47
510,24-09-2013,260.683
511,25-09-2013,264.892
512,26-09-2013,269.923
513,27-09-2013,274.737
514,28-09-2013,271.747
515,29-09-2013,258.383
516,30-09-2013,267.219
517,01-10-2013,271.723
